dep;jour;current_hosp;current_critical;total_returned_home;total_death;cumulative_hosp;cumulative_critical;cumulative_death;cumulative_returned_home;new_hosp;new_critical;new_death;new_returned_home;current_men_hosp;current_men_critical;total_men_returned_home;total_men_death;current_women_hosp;current_women_critical;total_women_returned_home;total_women_death
02;2020-03-31;144;37;108;51;316;46;40;150;58;6;7;41;79;21;43;35;63;16;64;15
02;2020-04-01;164;40;121;59;357;50;48;163;41;4;8;13;90;24;51;39;72;16;69;19
02;2020-04-02;186;38;148;67;414;51;56;190;57;1;8;27;104;21;61;44;81;17;86;22
02;2020-04-03;210;39;162;85;472;55;74;206;58;4;18;16;120;21;65;52;89;18;96;32
02;2020-04-04;223;40;180;94;514;59;84;225;42;4;10;19;123;24;74;55;99;16;104;38
02;2020-04-05;221;39;182;100;522;59;90;227;8;0;6;2;120;23;76;59;100;16;104;40
02;2020-04-06;223;36;187;106;535;60;96;234;13;1;6;7;119;23;80;61;103;13;105;44
02;2020-04-07;255;35;218;115;605;64;105;265;70;4;9;31;142;23;94;67;112;12;122;46
02;2020-04-08;260;39;230;119;626;69;109;278;21;5;4;13;143;26;97;69;116;13;131;48
02;2020-04-09;270;39;249;128;665;73;118;298;39;4;9;20;143;25;107;75;125;14;140;51
02;2020-04-10;280;44;263;136;698;79;126;312;33;6;8;14;144;27;114;78;134;17;147;56
02;2020-04-11;279;43;285;140;723;79;130;334;25;0;4;22;144;27;125;80;133;16;158;58
02;2020-04-12;283;44;287;142;731;80;132;336;8;1;2;2;147;28;125;82;134;16;160;58
02;2020-04-13;286;44;288;147;740;80;137;337;9;0;5;1;146;27;126;86;138;17;160;59
02;2020-04-14;279;45;296;152;748;81;142;353;8;1;5;16;144;28;130;89;133;17;164;61
02;2020-04-15;280;47;320;155;776;85;145;378;28;4;3;25;148;30;141;91;130;17;177;62
02;2020-04-16;277;47;333;159;789;86;149;392;13;1;4;14;144;30;150;94;131;17;181;63
02;2020-04-17;277;44;345;165;807;87;155;404;18;1;6;12;143;29;156;96;132;15;187;67
02;2020-04-18;271;41;355;168;819;87;158;414;12;0;3;10;141;27;158;99;128;14;195;67
02;2020-04-19;275;41;356;169;827;88;159;415;8;1;1;1;143;27;158;100;130;14;196;67
02;2020-04-20;304;47;425;175;933;95;165;485;106;7;6;70;159;30;175;104;144;17;248;69
02;2020-04-21;295;40;515;183;1026;96;178;575;93;1;13;90;146;27;203;108;149;13;310;72
02;2020-04-22;279;40;554;188;1055;97;183;614;29;1;5;39;139;27;218;112;140;13;334;73
02;2020-04-23;281;40;574;189;1079;98;184;634;24;1;1;20;141;26;224;112;140;14;348;74
02;2020-04-24;292;38;586;192;1105;99;187;648;26;1;3;14;146;24;228;115;146;14;356;74
02;2020-04-25;287;38;598;196;1115;99;191;660;10;0;4;12;145;24;231;118;142;14;365;75
02;2020-04-26;295;38;597;199;1126;99;194;660;11;0;3;0;150;24;231;120;145;14;364;76
03;2020-03-19;0;0;7;0;3;1;0;6;3;1;0;6;0;0;2;0;0;0;5;0
03;2020-03-20;1;0;10;0;7;1;0;9;4;0;0;3;1;0;4;0;0;0;6;0
03;2020-03-21;5;0;10;0;12;1;0;10;5;0;0;1;3;0;4;0;2;0;6;0
03;2020-03-22;5;0;10;0;14;1;0;12;2;0;0;2;3;0;4;0;2;0;6;0
03;2020-03-23;9;0;16;1;25;2;1;16;11;1;1;4;2;0;6;0;7;0;10;1
03;2020-03-24;9;0;16;1;27;2;1;16;2;0;0;0;3;0;6;0;6;0;10;1
03;2020-03-25;12;0;20;1;33;3;1;20;6;1;0;4;3;0;8;0;9;0;12;1
03;2020-03-26;15;1;26;2;44;4;2;26;11;1;1;6;4;0;11;0;10;0;15;2
03;2020-03-27;18;2;27;4;50;6;4;27;6;2;2;1;5;0;11;2;12;1;16;2
03;2020-03-28;22;2;31;4;59;7;4;31;9;1;0;4;8;0;14;2;13;1;17;2
03;2020-03-29;23;5;32;4;62;10;4;32;3;3;0;1;8;1;15;2;14;3;17;2
03;2020-03-30;30;8;39;4;76;14;4;38;14;4;0;6;11;3;15;2;18;4;23;2
03;2020-03-31;36;13;41;5;81;16;5;41;5;2;1;3;15;7;16;2;19;5;25;3
03;2020-04-01;38;13;48;5;90;17;5;48;9;1;0;7;16;7;19;2;20;5;29;3
03;2020-04-02;36;14;54;6;95;20;6;54;5;3;1;6;17;7;22;2;17;6;32;4
03;2020-04-03;40;13;54;7;101;21;7;55;6;1;1;1;17;6;22;3;21;6;32;4
03;2020-04-04;44;12;56;7;107;21;7;57;6;0;0;2;19;6;23;3;23;6;33;4
03;2020-04-05;45;16;59;8;113;25;8;61;6;4;1;4;22;10;24;3;21;6;35;5
03;2020-04-06;50;18;61;8;119;26;8;63;6;1;0;2;24;10;25;3;24;8;36;5
03;2020-04-07;52;19;65;8;124;26;8;67;5;0;0;4;23;11;28;3;27;8;37;5
03;2020-04-08;53;21;67;10;134;29;10;69;10;3;2;2;26;12;28;5;25;9;39;5
03;2020-04-09;57;22;66;10;137;30;10;69;3;1;0;0;27;13;28;5;28;9;38;5
03;2020-04-10;56;22;72;10;143;32;10;75;6;2;0;6;26;13;32;5;28;9;40;5
03;2020-04-11;60;22;74;12;151;33;12;77;8;1;2;2;28;14;32;7;31;8;41;5
03;2020-04-12;58;20;79;13;155;33;13;83;4;0;1;6;27;13;34;8;30;7;44;5
03;2020-04-13;58;20;82;13;158;33;13;86;3;0;0;3;26;13;36;8;31;7;45;5
03;2020-04-14;62;21;81;16;164;35;16;86;6;2;3;0;28;14;35;9;33;7;45;7
03;2020-04-15;59;20;85;17;166;35;17;90;2;0;1;4;28;14;36;9;30;6;48;8
03;2020-04-16;60;20;86;19;170;35;19;91;4;0;2;1;27;14;37;11;32;6;48;8
03;2020-04-17;61;19;87;19;172;35;19;92;2;0;0;1;28;13;38;11;32;6;48;8
03;2020-04-18;57;17;90;22;174;35;22;95;2;0;3;3;27;12;40;11;29;5;49;11
03;2020-04-19;57;18;90;22;174;36;22;95;0;1;0;0;27;13;40;11;29;5;49;11
03;2020-04-20;62;18;90;22;179;36;22;95;5;0;0;0;29;13;40;11;32;5;49;11
03;2020-04-21;56;18;99;22;184;36;23;104;5;0;1;9;28;13;44;11;27;5;54;11
03;2020-04-22;55;18;103;23;189;37;24;108;5;1;1;4;27;13;45;11;27;5;57;11
03;2020-04-23;54;16;107;23;192;37;24;112;3;0;0;4;28;12;45;11;25;4;61;11
03;2020-04-24;52;14;110;24;194;37;25;115;2;0;1;3;27;10;46;11;25;4;62;12
03;2020-04-25;53;14;113;24;199;37;25;118;5;0;0;3;26;10;47;11;27;4;64;12
03;2020-04-26;55;14;114;24;202;37;25;119;3;0;0;1;28;10;47;11;27;4;65;12
04;2020-03-19;3;1;3;0;1;0;0;1;1;0;0;1;3;1;1;0;0;0;2;0
04;2020-03-20;3;1;3;0;1;0;0;1;0;0;0;0;3;1;1;0;0;0;2;0
04;2020-03-21;4;1;3;0;2;0;0;1;1;0;0;0;3;1;1;0;1;0;2;0
04;2020-03-22;4;1;3;0;2;0;0;1;0;0;0;0;3;1;1;0;1;0;2;0
04;2020-03-23;4;1;3;0;2;0;0;1;0;0;0;0;3;1;1;0;1;0;2;0
04;2020-03-24;4;1;3;0;2;0;0;1;0;0;0;0;3;1;1;0;1;0;2;0
04;2020-03-25;8;1;16;0;19;0;0;14;17;0;0;13;5;1;6;0;3;0;10;0
04;2020-03-26;9;1;16;0;20;0;0;14;1;0;0;0;5;1;6;0;4;0;10;0
04;2020-03-27;11;1;18;0;24;0;0;16;4;0;0;2;6;1;7;0;5;0;11;0
04;2020-03-28;12;1;21;0;28;0;0;19;4;0;0;3;6;1;7;0;6;0;14;0
04;2020-03-29;12;1;21;0;28;0;0;19;0;0;0;0;6;1;7;0;6;0;14;0
04;2020-03-30;19;4;28;1;43;3;1;27;15;3;1;8;11;3;9;0;8;1;19;1
04;2020-03-31;20;4;31;2;48;3;2;30;5;0;1;3;10;3;10;1;10;1;20;1
04;2020-04-01;22;5;33;2;52;4;2;32;4;1;0;2;12;4;10;1;9;1;23;1
04;2020-04-02;25;5;45;3;67;4;3;45;15;0;1;13;10;4;18;2;14;1;27;1
04;2020-04-03;29;6;45;3;72;5;3;46;5;1;0;1;13;5;18;2;15;1;27;1
04;2020-04-04;29;5;44;3;72;5;3;46;0;0;0;0;13;4;18;2;15;1;26;1
04;2020-04-05;31;7;44;3;74;7;3;46;2;2;0;0;14;5;18;2;16;2;26;1
04;2020-04-06;35;5;49;4;85;7;4;51;11;0;1;5;16;4;19;3;18;1;30;1
04;2020-04-07;29;3;56;4;86;7;4;58;1;0;0;7;13;2;23;3;15;1;33;1
04;2020-04-08;30;3;58;4;89;7;4;60;3;0;0;2;12;2;25;3;17;1;33;1
04;2020-04-09;31;3;58;4;90;7;4;60;1;0;0;0;12;2;25;3;18;1;33;1
04;2020-04-10;35;4;60;4;96;8;4;63;6;1;0;3;13;2;27;3;21;2;33;1
04;2020-04-11;35;5;63;4;99;9;4;67;3;1;0;4;12;2;30;3;22;3;33;1
04;2020-04-12;34;5;63;5;99;9;5;67;0;0;1;0;11;2;30;4;22;3;33;1
04;2020-04-13;33;4;63;5;99;9;5;67;0;0;0;0;11;2;30;4;21;2;33;1
04;2020-04-14;34;4;71;5;107;9;5;75;8;0;0;8;12;2;32;4;20;2;39;1
04;2020-04-15;37;4;72;5;111;9;5;76;4;0;0;1;14;2;32;4;22;2;40;1
04;2020-04-16;34;3;74;6;111;9;6;78;0;0;1;2;13;1;32;5;20;2;42;1
04;2020-04-17;34;3;75;6;112;9;6;79;1;0;0;1;14;1;32;5;19;2;43;1
04;2020-04-18;34;3;76;6;113;9;6;80;1;0;0;1;14;1;33;5;19;2;43;1
04;2020-04-19;38;3;78;6;119;9;6;82;6;0;0;2;14;1;34;5;23;2;44;1
04;2020-04-20;45;2;80;6;129;9;6;84;10;0;0;2;15;0;34;5;27;2;45;1
04;2020-04-21;41;2;84;7;130;9;7;88;1;0;1;4;15;0;35;5;23;2;48;2
04;2020-04-22;31;2;91;7;134;9;7;96;4;0;0;8;13;0;37;5;18;2;53;2
04;2020-04-23;29;2;95;7;137;9;7;100;3;0;0;4;14;0;38;5;15;2;56;2
04;2020-04-24;30;2;97;7;140;9;7;102;3;0;0;2;15;0;39;5;15;2;57;2
04;2020-04-25;29;1;99;7;141;9;7;104;1;0;0;2;15;0;39;5;14;1;59;2
04;2020-04-26;29;1;99;7;141;9;7;104;0;0;0;0;15;0;39;5;14;1;59;2
05;2020-03-19;10;1;10;0;4;0;0;1;4;0;0;1;3;0;8;0;7;1;2;0
05;2020-03-20;13;1;10;0;6;0;0;1;2;0;0;0;5;0;8;0;8;1;2;0
05;2020-03-21;13;1;10;0;9;0;0;2;3;0;0;1;5;0;8;0;8;1;2;0
05;2020-03-22;14;1;11;0;12;0;0;2;3;0;0;0;5;0;8;0;9;1;3;0
05;2020-03-23;19;3;13;0;17;3;0;4;5;3;0;2;5;1;9;0;14;2;4;0
05;2020-03-24;19;4;16;1;21;4;1;8;4;1;1;4;9;1;8;0;10;3;8;1
05;2020-03-25;23;4;19;1;28;4;1;11;7;0;0;3;12;1;10;0;11;3;9;1
05;2020-03-26;29;6;20;1;35;6;1;12;7;2;0;1;16;3;11;0;13;3;9;1
05;2020-03-27;32;7;22;1;40;7;1;14;5;1;0;2;16;4;13;0;16;3;9;1
05;2020-03-28;32;7;26;1;44;7;1;18;4;0;0;4;16;4;15;0;16;3;11;1
05;2020-03-29;39;8;27;1;52;9;1;19;8;2;0;1;23;6;15;0;16;2;12;1
05;2020-03-30;38;6;33;1;61;9;1;25;9;0;0;6;21;5;18;0;17;1;15;1
05;2020-03-31;42;7;36;1;68;10;1;28;7;1;0;3;25;6;20;0;17;1;16;1
05;2020-04-01;52;11;36;1;76;12;1;28;8;2;0;0;30;8;20;0;22;3;16;1
05;2020-04-02;59;16;37;1;84;17;1;30;8;5;0;2;35;11;21;0;24;5;16;1
05;2020-04-03;64;16;37;1;90;20;1;30;6;3;0;0;36;9;21;0;28;7;16;1
05;2020-04-04;60;17;42;1;91;21;1;35;1;1;0;5;31;10;26;0;29;7;16;1
05;2020-04-05;59;17;45;1;93;21;1;38;2;0;0;3;30;10;29;0;29;7;16;1
05;2020-04-06;63;17;46;2;99;22;2;39;6;1;1;1;34;11;29;0;29;6;17;2
05;2020-04-07;64;17;48;2;101;23;2;41;2;1;0;2;35;11;29;0;29;6;19;2
05;2020-04-08;61;16;53;2;103;25;2;46;2;2;0;5;34;10;31;0;27;6;22;2
05;2020-04-09;54;15;61;2;104;25;2;54;1;0;0;8;31;9;35;0;23;6;26;2
05;2020-04-10;52;15;65;2;106;25;2;58;2;0;0;4;27;9;39;0;25;6;26;2
05;2020-04-11;50;15;68;2;107;25;2;61;1;0;0;3;26;9;40;0;24;6;28;2
05;2020-04-12;49;13;68;3;108;25;3;61;1;0;1;0;24;7;40;1;25;6;28;2
05;2020-04-13;49;13;70;3;110;25;3;63;2;0;0;2;26;7;40;1;23;6;30;2
05;2020-04-14;46;13;73;3;110;25;3;67;0;0;0;4;23;7;43;1;23;6;30;2
05;2020-04-15;44;12;78;4;114;25;4;72;4;0;1;5;21;6;46;2;23;6;32;2
05;2020-04-16;42;12;81;4;116;25;4;75;2;0;0;3;20;6;47;2;22;6;34;2
05;2020-04-17;42;11;81;5;117;25;5;76;1;0;1;1;20;6;47;2;22;5;34;3
05;2020-04-18;38;9;85;6;119;25;6;80;2;0;1;4;18;6;50;2;20;3;35;4
05;2020-04-19;38;9;85;6;119;25;6;80;0;0;0;0;18;6;50;2;20;3;35;4
05;2020-04-20;38;10;85;6;119;26;6;80;0;1;0;0;18;6;50;2;20;4;35;4
05;2020-04-21;41;9;87;6;125;26;6;82;6;0;0;2;17;5;52;2;24;4;35;4
05;2020-04-22;41;9;88;6;126;26;6;83;1;0;0;1;16;5;53;2;25;4;35;4
05;2020-04-23;41;8;89;6;127;26;6;84;1;0;0;1;15;5;54;2;26;3;35;4
05;2020-04-24;38;7;92;6;128;26;6;87;1;0;0;3;14;5;55;2;23;2;37;4
05;2020-04-25;41;8;93;6;131;26;6;88;3;0;0;1;15;6;55;2;23;2;38;4
05;2020-04-26;41;8;93;6;131;26;6;88;0;0;0;0;15;6;55;2;23;2;38;4
06;2020-03-19;33;5;48;2;12;4;0;4;12;4;0;4;21;4;19;0;11;0;29;2
06;2020-03-20;43;7;61;4;34;7;2;14;22;3;2;10;25;6;26;1;16;0;34;3
06;2020-03-21;46;7;61;6;39;7;4;15;5;0;2;1;26;6;25;2;18;0;35;4
06;2020-03-22;45;8;63;7;41;8;6;17;2;1;2;2;26;7;26;3;17;0;36;4
06;2020-03-23;66;13;63;8;63;13;6;17;22;5;0;0;40;12;26;3;24;0;36;5
06;2020-03-24;55;12;86;8;75;14;6;40;12;1;0;23;35;11;34;3;19;0;50;5
06;2020-03-25;75;17;93;9;104;19;7;48;29;5;1;8;46;15;39;3;27;1;52;6
06;2020-03-26;85;18;95;12;121;20;10;53;17;1;3;5;52;16;41;5;31;1;52;7
06;2020-03-27;99;22;99;12;140;24;10;58;19;4;0;5;60;19;42;5;37;2;55;7
06;2020-03-28;105;21;107;15;162;28;13;69;22;4;3;11;60;18;44;7;44;2;61;8
06;2020-03-29;112;26;116;17;181;33;15;79;19;5;2;10;69;20;47;8;42;5;67;9
06;2020-03-30;119;30;117;20;192;38;18;80;11;5;3;1;73;23;47;9;45;6;68;11
06;2020-03-31;132;34;124;23;214;41;21;87;22;3;3;7;78;24;51;12;53;9;70;11
06;2020-04-01;149;41;132;29;254;50;27;105;40;9;6;18;91;30;52;17;57;10;77;12
06;2020-04-02;182;61;141;32;297;67;30;114;43;17;3;9;113;41;57;20;65;17;81;12
06;2020-04-03;203;65;149;35;333;76;33;123;36;9;3;9;124;44;62;22;74;17;84;13
06;2020-04-04;217;77;167;38;371;88;36;141;38;12;3;18;134;53;72;23;77;19;91;15
06;2020-04-05;219;78;171;43;382;90;41;145;11;2;5;4;133;53;76;26;80;20;91;17
06;2020-04-06;233;80;180;47;413;101;45;155;31;11;4;10;139;56;81;28;87;18;94;18
06;2020-04-07;252;81;192;48;450;112;46;168;37;11;1;13;144;58;89;28;99;17;98;19
06;2020-04-08;258;87;208;56;482;128;54;184;32;16;8;16;148;64;96;31;100;17;107;23
06;2020-04-09;264;84;219;61;508;133;59;195;26;5;5;11;147;61;104;35;107;17;110;24
06;2020-04-10;278;83;231;63;547;140;61;209;39;7;2;14;155;59;110;36;113;18;116;25
06;2020-04-11;267;79;249;67;558;142;65;229;11;2;4;20;147;57;119;39;111;16;124;26
06;2020-04-12;270;80;249;68;564;144;66;231;6;2;1;2;146;57;119;39;115;17;124;27
06;2020-04-13;278;79;257;75;586;148;73;239;22;4;7;8;152;57;122;42;115;15;129;31
06;2020-04-14;282;79;270;81;614;152;79;253;28;4;6;14;149;57;128;47;121;15;136;32
06;2020-04-15;278;69;284;85;627;153;83;268;13;1;4;15;146;50;137;48;120;12;141;35
06;2020-04-16;278;64;297;88;645;155;86;281;18;2;3;13;145;44;142;50;121;13;149;36
06;2020-04-17;263;58;326;95;670;158;94;310;25;3;8;29;137;39;157;52;115;12;161;41
06;2020-04-18;276;56;328;97;687;159;96;313;17;1;2;3;143;38;157;53;122;12;162;42
06;2020-04-19;279;55;328;98;692;159;97;313;5;0;1;0;143;37;157;54;125;12;162;42
06;2020-04-20;276;50;342;107;711;163;106;327;19;4;9;14;140;30;164;57;125;15;169;48
06;2020-04-21;269;48;356;108;723;163;107;341;12;0;1;14;136;29;170;57;122;14;177;49
06;2020-04-22;276;48;369;110;745;167;109;355;22;4;2;14;141;27;173;59;124;17;187;49
06;2020-04-23;270;48;382;111;756;170;110;368;11;3;1;13;134;28;182;60;124;16;190;49
06;2020-04-24;269;51;387;118;767;175;117;373;11;5;7;5;135;29;183;64;121;16;194;52
06;2020-04-25;259;47;401;122;773;176;121;387;6;1;4;14;127;27;192;64;119;14;198;56
06;2020-04-26;258;49;404;123;778;181;122;390;5;5;1;3;127;30;194;64;119;14;199;57
07;2020-03-19;11;2;0;0;7;1;0;0;7;1;0;0;6;1;0;0;3;0;0;0
07;2020-03-20;15;3;3;1;14;2;1;3;7;1;1;3;8;2;0;1;5;0;3;0
07;2020-03-21;15;3;3;1;20;2;1;4;6;0;0;1;9;2;0;1;3;0;3;0
07;2020-03-22;22;3;3;1;23;3;1;4;3;1;0;0;11;2;0;1;6;0;3;0
07;2020-03-23;29;3;3;2;30;3;2;4;7;0;1;0;12;2;0;2;11;0;3;0
07;2020-03-24;37;4;1;3;38;5;3;5;8;2;1;1;17;2;0;3;13;1;0;0
07;2020-03-25;48;5;34;4;81;6;4;38;43;1;1;33;21;3;12;3;14;1;21;1
07;2020-03-26;52;7;39;5;93;7;5;43;12;1;1;5;23;3;14;4;16;1;24;1
07;2020-03-27;54;9;45;9;105;9;9;49;12;2;4;6;22;4;18;6;18;1;26;2
07;2020-03-28;62;9;66;10;139;10;10;70;34;1;1;21;26;4;26;6;18;1;36;2
07;2020-03-29;66;8;67;11;148;11;11;71;9;1;1;1;27;3;26;7;18;1;36;2
07;2020-03-30;72;8;79;12;169;12;12;83;21;1;1;12;32;3;30;7;18;1;44;3
07;2020-03-31;87;11;99;13;202;17;13;103;33;5;1;20;42;5;40;8;22;2;53;3
07;2020-04-01;85;11;110;17;217;19;17;114;15;2;4;11;43;6;43;10;21;1;58;5
07;2020-04-02;83;13;120;23;230;22;23;124;13;3;6;10;43;9;47;14;22;0;62;6
07;2020-04-03;95;16;125;24;249;24;24;129;19;2;1;5;50;10;47;15;28;2;66;6
07;2020-04-04;87;15;132;26;250;24;26;136;1;0;2;7;45;9;51;17;25;2;69;6
07;2020-04-05;93;15;131;26;257;25;26;136;7;1;0;0;49;9;51;17;27;2;68;6
07;2020-04-06;102;16;140;30;281;29;30;145;24;4;4;9;53;11;54;18;32;2;74;8
07;2020-04-07;106;19;150;32;296;30;32;155;15;1;2;10;59;13;57;19;35;3;78;8
07;2020-04-08;107;20;156;35;305;33;35;161;9;3;3;6;62;14;60;21;34;2;80;9
07;2020-04-09;107;23;166;38;312;35;38;171;7;2;3;10;60;15;67;24;36;4;83;9
07;2020-04-10;105;24;176;40;322;37;40;181;10;2;2;10;61;15;69;26;36;5;88;9
07;2020-04-11;102;26;182;40;325;39;40;187;3;2;0;6;59;16;72;26;35;6;91;9
07;2020-04-12;102;25;184;40;327;40;40;189;2;1;0;2;60;16;72;26;35;5;92;9
07;2020-04-13;106;24;185;43;337;40;43;190;10;0;3;1;63;16;73;29;36;4;92;9
07;2020-04-14;106;24;193;45;349;44;46;198;12;4;3;8;67;19;76;29;33;2;96;11
07;2020-04-15;101;24;205;45;356;45;46;210;7;1;0;12;63;18;81;29;34;3;101;11
07;2020-04-16;102;23;208;45;360;45;46;213;4;0;0;3;65;17;82;29;33;3;103;11
07;2020-04-17;104;23;217;48;374;46;49;222;14;1;3;9;63;18;87;31;37;2;107;12
07;2020-04-18;110;23;223;49;382;46;50;228;8;0;1;6;69;19;90;31;37;2;110;13
07;2020-04-19;111;23;223;49;383;46;50;228;1;0;0;0;70;19;90;31;37;2;110;13
07;2020-04-20;103;23;232;51;386;47;53;237;3;1;3;9;69;21;94;32;30;0;115;14
07;2020-04-21;104;26;237;52;392;50;54;242;6;3;1;5;68;23;97;33;32;1;117;14
07;2020-04-22;102;25;242;53;396;50;55;247;4;0;1;5;64;22;101;34;34;1;118;14
07;2020-04-23;97;24;251;55;404;50;57;257;8;0;2;10;63;21;104;35;31;1;123;15
07;2020-04-24;99;25;252;55;407;51;57;258;3;1;0;1;65;22;104;35;31;1;124;15
07;2020-04-25;95;25;259;57;412;53;59;265;5;2;2;7;65;22;108;36;27;1;127;16
07;2020-04-26;101;24;260;58;419;53;60;266;7;0;1;1;67;21;109;37;31;1;127;16
08;2020-03-19;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0
08;2020-03-20;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0
08;2020-03-21;3;1;1;0;3;1;0;0;2;0;0;0;2;0;1;0;1;1;0;0
08;2020-03-22;4;1;1;0;4;1;0;0;1;0;0;0;3;0;1;0;1;1;0;0
08;2020-03-23;6;3;1;0;5;2;0;0;1;1;0;0;3;0;1;0;3;3;0;0
08;2020-03-24;5;3;2;0;5;2;0;1;0;0;0;1;2;0;2;0;3;3;0;0
